folio,rubrique,nom,statut_soc,objet,detail_objet,localisation,redevance
"f°16 recto, l.26",vore den Wijngaerts,Aerd van Campenhout?,?,1 aneworpe,van goede dat was Jans de smet van Hoelar de plutijnmmakere,op de senne achter sijn huis buten der laekn poerte,obole
"f°16 recto, l.27",vore den Wijngaerts,Aerd van Campenhout,?,1 settelen?,-,in Senne boven der Moutmolen ane brugghe,3 deniers]
"f°16 recto, l.28",vore den Wijngaerts,Vrancke van Beleghem/Keleghem,?,1 voerhoed,-,op de hergraecht tusschen der Wijngart over den Witten Vrouwen ,2 deniers
"f°16 recto, l.29",vore den Wijngaerts,Mechiel tser Sarijs,?,1/2 dachwande beems,"wilen Gheertuden van Vilvoerde tscoezutters van Heenbeke, van goede goede dat was van Jans Gouwers steenbickeleres""",?,3 deniers
"f°16 recto, l.30",vore den Wijngaerts,Vrancke Lonijs?,?,1 aneworpe,-,op de Senne bi der linden van Wersonder/wervonder? Dat amelrex Moys was,16 deniers
"f°16 recto, l.31",vore den Wijngaerts,Peter van Denremonde,?,1 aneworpe,-,achter sine huis op sennen buten laken poerte,hellinc?
"f°16 recto, l.32",vore den Wijngaerts,Diederex Vinke,?,1 hofstat,wilen Arnd tser arts,jeghen de capelle over van sente Kateline,3 livre(liber?)?? 1 ou 1/2chapon
"f°16 recto, l.33",vore den Wijngaerts,Heinrec van Laken,de timmerman,1 plaetsen,sij hout,opte brugghenen vore den wijngaert,?
"f°16 verso, l.1",vore den Wijngaerts,,,,,,
"f°16 verso, l.1 aussi",vore den Wijngaerts,de fermerie van den wijngarde,-,1 hofstat,van nuws?,vore den Wijngarde,10 sous
"f°16 verso, l.2",vore den Wijngaerts,de fermerie van den wijngarde,-,1 hofstat,-,bi tspapen van den Wijngarde,2 sous
"f°16 verso, l.2 aussi",vore den Wijngaerts,de fermerie van den wijngarde,-,vander poerten,-,vore hare hof,1 denier
"f°16 verso, l.2 aussi",vore den Wijngaerts,de fermerie van den wijngarde,-,3 hofstaden,-,op Cantersteen,"1,5 deniers"
"f°16 verso, l.3",vore den Wijngaerts,de fermerie van den wijngarde,-,van hare arcken?,-,?,1 denier
"f°16 verso, l.3 aussi",vore den Wijngaerts,de fermerie van den wijngarde,-,hare molen,-,?,12 deniers
"f°16 verso, l.3 aussi",vore den Wijngaerts,de fermerie van den wijngarde,-,1 waterscape,-,bi de molen,3 deniers
"f°16 verso, l.3 aussi",vore den Wijngaerts,de fermerie van den wijngarde,-,"""item te ganshoren""",-,te ganshoren,5 sous 10 deniers
"f°16 verso, l.4",vore den Wijngaerts,de fermerie van den wijngarde,-,"""item te laken""",-,te  laken,6 deniers
"f°16 verso, l.4 aussi",vore den Wijngaerts,de fermerie van den wijngarde,-,1 boender lands,dat was Adaems van Botelghem?,?,15 deniers
"f°16 verso, l.5",vore den Wijngaerts,de fermerie van den wijngarde,-,"""item van goede""",dat was wilen Godeverts Lude ende Vranx van Delhem?,?,"12 deniers, 1 chapon"
"f°16 verso, l.5 aussi",vore den Wijngaerts,de fermerie van den wijngarde,-,goede?,van goede dat was Jans Commakers die waren Peters wijf Bellemans ,tobbrucele,26 deniers
"f°16 verso, l.6",vore den Wijngaerts,de fermerie van den wijngarde,-,?,van gilijs goede van Housoecht,?,?
"f°16 verso, l.6 aussi",vore den Wijngaerts,de fermerie van den wijngarde,-,7 dachwande lands,die waren leen Jans van den Stene,?,1 denier
"f°16 verso, l.6 aussi",vore den Wijngaerts,de fermerie van den wijngarde,-,?,-,te heenbeke,6 deniers
"f°16 verso, l.7",vore den Wijngaerts,de fermerie van den wijngarde,-,goede,-,dat leet tossenem,"10,5 deniers"
"f°16 verso, l.7 aussi",vore den Wijngaerts,de fermerie van den wijngarde,-,1 stucke beemds,dat h. Hose,"""daer""",3 deniers
"f°16 verso, l.8",vore den Wijngaerts,de fermerie van den wijngarde,-,1 voerhoed 1 hofstat,-,op de hergraecht bi kindekens van nuws,4 deniers
"f°16 verso, l.9",vore den Wijngaerts,de fermerie van den wijngarde,-,1 ou 1/2 ? Obstagle,van Villem van Campenout,ane de wijngart trappen op de Senne,1 denier
"f°16 verso, l.10",vore den Wijngaerts,de fermerie van den wijngarde,-,1 aneworpe,-,op de Senne tuschen tser Jans van Brucele tspapen ende der hofstat Paucyers wijf bi den cleinen stratkene,2 sous
"f°16 verso, l.11",vore den Wijngaerts,de fermerie van den wijngarde,-,3 dachwand lans,van kateline(n) goed(e) van den stene van .III. dach(wand)lans die ghecoecht ware(n) jeghe(n) janne van lienie ,?,"1,5 deniers??"
"f°16 verso, l.11 aussi",vore den Wijngaerts,de fermerie van den wijngarde,-,1 obstalle,-,achter hare arcke op de beke,1 denier
"f°16 verso, l.12",vore den Wijngaerts,de fermerie van den wijngarde,-,1 bosche?,van Jans goede Symons van ophem,bi halle,3 deniers
"f°16 verso, l.13",vore den Wijngaerts,de fermerie van den wijngarde,-,1 dachwande bosch,-,in de deecht gheleghen boven Borsele,6 deniers
,vore den Wijngaerts,de fermerie van den wijngarde,-,-,-,-,total des redevances.
"f°16 verso, l.15",Te Molenbeke ende op den Steenwech,Jacob Ghijsbrechts,?,?,van goede dat was Jans scoezutters,?,"2,5 sous et 1 chapon"
"f°16 verso, l.16",Te Molenbeke ende op den Steenwech,Olivier van Jette,?,?,van goede dat was Rolants van der Straten,?,12 deniers et 4 chapons
"f°16 verso, l.17",Te Molenbeke ende op den Steenwech,Olivier van Jette?,?,1 eelsbroeke,van Adelen vander Biest,te Jette,6 deniers
"f°16 verso, l.18",Te Molenbeke ende op den Steenwech,Olivier van Jette?,?,van goede van 1 ghedele tghasthuis,de selve van goede van 1 ghedele tghastguis van sente claes,in Brucele derfslecheit es der satbrudere,2 gange
"f°16 verso, l.19",Te Molenbeke ende op den Steenwech,Reynere de moldere,moldere?,1 hofstat,-,ane de hameyde,6 sous et 2 chapons
"f°16 verso, l.20 (barré)",Te Molenbeke ende op den Steenwech,[Jan te costere van Gremberghen],[?],[1 voerhoede],[van sinen huis],[bi sente katelinen poerte],[3 deniers]
"f°16 verso, l.21",Te Molenbeke ende op den Steenwech,Jan Jan Symoens sone,?,1/2 hofstat,?,bi Vranx bocs?,12 deniers  
"f°16 verso, l.22",Te Molenbeke ende op den Steenwech,Aerd van den trappen,meester,1 dachwande broex,tenet Gilijs Weim? Te Hamme,te Wemmele,"2,5 sous"
"f°16 verso, l.23",Te Molenbeke ende op den Steenwech,Jacob de scildere,de scildere??,?,?,?,obole
"f°16 verso, l.23 aussi",Te Molenbeke ende op den Steenwech,Jacob de scildere,de scildere??,weghen?,van inghbrecht weghen van Laken,?,obole
"f°16 verso, l.24",Te Molenbeke ende op den Steenwech,Jacob de scildere,??,1 voervanghe,sire hofstat,?,obole
"f°16 verso, l.24 aussi",Te Molenbeke ende op den Steenwech,Jacob de scildere,??,1 andere dele voerhoets ,sire hofstat,?,1 denier
"f°16 verso, l.25",Te Molenbeke ende op den Steenwech,Willem de Loze,?,1 voerhode,"sire hofstat, van goede dat was Jans blijf hijr",daer hi in woent over de scebbrugghe,1 denier
"f°16 verso, l.26",Te Molenbeke ende op den Steenwech,Jan van Gremberghe,de vedermakere,1 voerhoede,sire hofstat,op den steenwech bi Wouters goede van Cockelberghe,2 deniers
"f°16 verso, l.27 (barrée)",Te Molenbeke ende op den Steenwech,[Jan van Gremberghe??],[de vedermakere?],[1 voervanghe],[-],[op de side van sinen huis in de ridderstrate ende op der hornec vander griep straten],[?]
"f°16 verso, l.28",Te Molenbeke ende op den Steenwech,Marie Laureis ketewuters dochter,?,?,van goede dat was Jans Philips sone van den Steenweghhe,?,4 deniers
"f°16 verso, l.29",Te Molenbeke ende op den Steenwech,[Jan de Keser] (barré] Willem Trisen?,[tscepman?] ?,1 hofstat,die Ysenbelen van Rixsensaert,bi der scepbrugghen,5 deniers
"f°16 verso, l.30",Te Molenbeke ende op den Steenwech,Willem trisen?,?,1 grade van 1/2 voeten wijd,-,?,1 denier
"f°16 verso, l.31",Te Molenbeke ende op den Steenwech,Jan de rademakere van Loembeke,de rademakere? ,1 hofstat,die was Jans Scilders,?,obole
"f°16 verso, l.32",Te Molenbeke ende op den Steenwech,Jan de rademakere van Loembeke,de rademakere? ,1 voerhoede ,sire hofstat,?,obole
"f°16 verso, l.33",Te Molenbeke ende op den Steenwech,Inghbrecht Godeverts sone van den Poele,?,?,?,?,2 deniers
"f°16 verso, l.34",Te Molenbeke ende op den Steenwech,Claes van Bolle,?,1 voervanghe,-,buten der drijsmolen ane bruxcken gheleghen,4 deniers
"f°16 verso, l.35",Te Molenbeke ende op den Steenwech,Claes Cause,?,1 voervanghe,-,ter driesmolen opden hornic jeghen de brugghe daer diermen te wittenvrouwen wert,?? Reprendre photo :'(
"f°17 recto, l.1",Te Molenbeke ende op den Steenwech,Jan Daneels sone tsmeeds,?,1 oesstalle,-,bi den witten vrouwen,1 denier
"f°17 recto, l.2",Te Molenbeke ende op den Steenwech,Jan Daneels sone tsmeeds,?,van sire hofstat,-,daer jaghen over,3 deniers
"f°17 recto, l.3",Te Molenbeke ende op den Steenwech,Jan Daneels sone tsmeeds,?,1 voerhoede,sire hofstat,die voerseit es,1 denier
"f°17 recto, l.4",Te Molenbeke ende op den Steenwech,Jan tser gherarts diemen heet Portsman/pertsman,?,1 aneworpe,-,vore sine huis,1 denier
"f°17 recto, l.5",Te Molenbeke ende op den Steenwech,Jan Wouters sone van den Zipe,?,1 broecke,-,te boutsvoert,3 deniers
"f°17 recto, l.6",Te Molenbeke ende op den Steenwech,Heinrec Soys?,?,1 watere ende huse ende beemd,-,te carlevelt,3 sous (ou florins?) et 3 deniers
"f°17 recto, l.7",Te Molenbeke ende op den Steenwech,Gilijs van Halle,?,1 hofstat,die ghecoecht was jeghen Janne van den Zipe,op den steenwech,"2,5 sous et 1 chapon"
"f°17 recto, l.8 (barré)",Te Molenbeke ende op den Steenwech,[Gilijs van Halle],[?],[2 hofstaden],[van goede dat was Gilijs van der straten],[jeghen den hertoghe bi den wijngarde],[6 deniers]
"f°17 recto, l.9",Te Molenbeke ende op den Steenwech,Heinrec de Vos van Malre,?,de katelbuten,van goede Jans Heynoys,?,12 deniers et 1 chapon
"f°17 recto, l.10",Te Molenbeke ende op den Steenwech,Heinrec de Vos van Marle douder?,?,1 hofstat,die was Jans Heynoys,?,12 deniers et 2 chapons
"f°17 recto, l.11",Te Molenbeke ende op den Steenwech,Heine de smet van Elsele,?,1 travaillien?,vore [tsoerserde huis?] Jans Rademakers tenen tyde?,?,3 deniers
"f°17 recto, l.12",Te Molenbeke ende op den Steenwech,Magriete Heinrex Cassarts ou/puis her willem platman?,joffrouwe ou/puis her?,1 half boender beemds,dat was Jans Ratelbolle,te Berchem,12 deniers
"f°17 recto, l.13",Te Molenbeke ende op den Steenwech,Magriete Heinrex Cassarts ou/puis her willem platman?,joffrouwe ou /puis her,? Noch?,-,in dorsendal,12 deniers
"f°17 recto, l.13 aussi",Te Molenbeke ende op den Steenwech,Magriete Heinrex Cassarts ou/puis her willem platman?,joffrouwe ou/puis her?,?noch?,-,"""daer""",2 deniers
"f°17 recto, l.14",Te Molenbeke ende op den Steenwech,Jacob/ Daneel? Van Ophem van ganshoren?,?,1 hofstat,daer hi op woent,op den steenwech,"2,5? Sous 1 chapon"
"f°17 recto, l.15 (barrée)",Te Molenbeke ende op den Steenwech,[Jacob/ Daneel? Van ophem van ganshoren?],[?],[1 hofstat],[van goede dat was Heinrec van Berchem van 1 hofstat die was Batrisse van der brugghen],[?],"[2,5 sous et 1 chapon]"
"f°17 recto, l.16 (barrée)",Te Molenbeke ende op den Steenwech,[Gilijs Jacobs],[?],[haren broecke],[-],[te carlevelt],[27 deniers]
"f°17 recto, l.17",Te Molenbeke ende op den Steenwech,"""gilijs Jacobs sone van Ophem"" <Jacob de mersman van Asche >",?,1 hofstat,-,op den steenwech,"2, 5 sous et 1 chapon"
"f°17 recto, l.18",Te Molenbeke ende op den Steenwech,Sente Marien capelrie,capelrie,?,van Wouters Gorters goede,in senter claes kercke,3 sous et 3 chapons
"f°17 recto, l.19",Te Molenbeke ende op den Steenwech,Sente Katelinen capelrie,capelrie,?,van Wouters Gorters goede,in senter claes kercke,3 sous et 3 chapons
"f°17 recto, l.20",Te Molenbeke ende op den Steenwech,Peter van Horebeke,?,?,van Aliten clercs goede van ossenem dat was Jans eulwighen tfetten man,?,15 deniers et 1/2 chapon
"f°17 recto, l.21",Te Molenbeke ende op den Steenwech,Jan uten Steenweghe,?,1 dele obstals,-,bi der beken in de hoernec ende de slusa,6 deniers
"f°17 recto, l.22",Te Molenbeke ende op den Steenwech,Jan uten Steenweghe,?,"""noch""?",?,"""daer""",6 deniers
"f°17 recto, l.22 aussi",Te Molenbeke ende op den Steenwech,Jan uten Steenweghe,?,svarten weghen ende jan veren hoedsen van coudenberghe,-,?,"1,5 deniers"
"f°17 recto, l.23",Te Molenbeke ende op den Steenwech,Jan uten Steenweghe,?,1 bogard (>boomgaert?),van sijns wijfs moeder goede,te Molenbeke,"15 deniers, 2 chapons et 2 oies"
"f°17 recto, l.24",Te Molenbeke ende op den Steenwech,Jan uten Steenweghe,?,1 obstalle,van goede dat was vrouwe Heilwighen van den Steenweghe,bi der kercken daer,2 deniers
"f°17 recto, l.25",Te Molenbeke ende op den Steenwech,Jan uten Steenweghe,?,1 beslotenen weghe,van nuws?,bi den/der kerchove van nuws,12 deniers
"f°17 recto, l.26",Te Molenbeke ende op den Steenwech,Aerd tson Aerds ,?,2 hofstaden?,van goede Heirec tser aerds tser gherems sone ,biden corenhuse,"1,5 deniers et 1 chapon"
"f°17 verso, l.1",Te Molenbeke ende op den Steenwech,Magriete Heinrecs tslozen dochter,?,1 borecke,-,tossenem,24 deniers
"f°17 verso, l.2",Te Molenbeke ende op den Steenwech,[Wouter] de Raedmaker ou/puis?  Adaem de Crane van Affelghem,?,1 dele van 1 huis,-,op den steenwech daer men gheet te ockerlberghe,20 sous
"f°17 verso, l.3",Te Molenbeke ende op den Steenwech,Godenot van Jette,de briedere,1 voerhoed,sire hofstat,over tscepbrugghe bi dielbecs/diewecs tsbeckers,1 denier
"f°17 verso, l.4 (barré)",Te Molenbeke ende op den Steenwech,[Vrancke de Boc],[?],[1 hofstat],die was Willems van Carlevelt ende Mechiels van Beckenzele],[?],[2 sous]
"f°17 verso, l.5",Te Molenbeke ende op den Steenwech,Jan de Merschere de mersman ou/puis Peter de Bodeghem de steenbickelere,de mersman ou steenbickelere?,1 voervanghe,-,op den steenwech bi troechroets ,12 deniers et 1 chapon
"f°17 verso, l.6",Te Molenbeke ende op den Steenwech,Gilijs van Elmt ,de clerc,van lande? (parce annotation supérieures),-,te Molenbeke ( parce que annotation supérieur),4 deniers
"f°17 verso, l.6 aussi",Te Molenbeke ende op den Steenwech,Gilijs van Elmt ,de clerc,?,van goede dat was Jans van Herdesem,achter den merte?,1 denier
"f°17 verso, l.7",Te Molenbeke ende op den Steenwech,Gilijs van der Ruiren??,?,van goede?,van goede dat was Jans Lobancs,gheleghen op den steenwech,15 deniers et 1 chapon
"f°17 verso, l.8",Te Molenbeke ende op den Steenwech,Jan van uitberghen/vitberghen,?,1 cleinen obstalle,van goede dat was Wouters Volcaerts van 1 cleinen obstalle vore sine huis,over de brugghe buten den wikete ter Drijschmolen,6 deniers
"f°17 verso, l.9",Te Molenbeke ende op den Steenwech,Wouter de Dune,?,1 voervanghe?,"van goede dat was Jans tfrijns van 1 voerva,ghe sire hofstat",te trocheroetse,2 deniers
"f°17 verso, l.10",Te Molenbeke ende op den Steenwech,Magriete svrients?,?,1 travaillien,van goede dat was Jans tseents?? Van Molenbeke,op den hoernec ieghen Cockelberghe,1 denier
"f°17 verso, l.11",Te Molenbeke ende op den Steenwech,Mechiel de Leu,?,1 beemde ,ghecoecht ieghen Olivire van Jette die was Rolants van der Straten,?,4 deniers et 2 chapons
"f°17 verso, l.12",Te Molenbeke ende op den Steenwech,Mechiel de Leu,?,1 condute van der beken,-,van der beken in sijn water bi bekemans,1 denier
"f°17 verso, l.13",Te Molenbeke ende op den Steenwech,Lijsbet van den Hane,joffrouwe,1 hofstat,-,daer Malesijn op woent tuschen de scepbrugghen ende sente katelinen poerte,"0,5 chapon terdendeel van 1 chapon"
"f°17 verso, l.14",Te Molenbeke ende op den Steenwech,Ode van de Spiechle,joffrouwe,1 hofstat,die was Lijsbetten sceppers,?,2 deniers et 1/2 chapon
"f°17 verso, l.15",Te Molenbeke ende op den Steenwech,Jan Inghbrechts sone van den Spiechle,?,1 boender lants,-,te Droetbeke,2 sous
"f°17 verso, l.16",Te Molenbeke ende op den Steenwech,Segher tser Gosens kindere ?van den vivere?,?,van den vivere?,van cockelberghe,?,5 sous
"f°17 verso, l.17",Te Molenbeke ende op den Steenwech,Segher tser Gosens kindere ?van den vivere?,?,1 obstalle,-,achter de molen in hasenbroec,3 deniers
"f°17 verso, l.18",Te Molenbeke ende op den Steenwech,de joffrouwen Labusinnen,joffrouwen?,van den selven vivere,-,?,5 sous
"f°17 verso, l.19",Te Molenbeke ende op den Steenwech,de joffrouwen Labusinnen/ tenet h. willem van cockelberghe,/,1 bogarde,-,op den steenwech,5 sous
"f°17 verso, l.20",Te Molenbeke ende op den Steenwech,de joffrouwen Labusinnen/ tenet h. willem van cockelberghe,??,?,van goede dat was der vrouwen van Cockelberghe,te Laken,7 deniers
"f°17 verso, l.21",Te Molenbeke ende op den Steenwech,de joffrouwen Labusinnen/ tenet h. willem van cockelberghe,??,1 stucke beemds ocht broex ,daer was Ghiselijns spade,?,7 deniers
"f°17 verso, l.22",Te Molenbeke ende op den Steenwech,de joffrouwen Labusinnen/ tenet h. willem van cockelberghe,?,de? boenderen beemde,-,die legghen ter Vleest,5 deniers
"f°17 verso, l.23",Te Molenbeke ende op den Steenwech,de joffrouwen Labusinnen/ tenet h. willem van cockelberghe,?,?,van goede dat was Gilijs Drabs,te Laken,12 deniers  
"f°17 verso, l.24",Te Molenbeke ende op den Steenwech,de joffrouwen Labusinnen/ tenet h. willem van cockelberghe,?,?,noch van goede dat was Daneels Drabs,te Laken,6 deniers
"f°18 recto, l.1",Te Molenbeke ende op den Steenwech,Wouter van Berenbeke,?,?,van goede dat was Aerd medden scachte den steenwech,?,3 sous et 2 chapons
"f°18 recto, l.2",Te Molenbeke ende op den Steenwech,Diderec Plucmese,?,1 hofstat,dat hout joffrouwe beatrijs Mennens (à un autre temps ?),?,"2,5 sous et 1 chapon"
"f°18 recto, l.3",Te Molenbeke ende op den Steenwech,Jan tser Gheroys sone Maes,?,1 eusele/ensele,?,bi Bouts,5 sous et 2 chapons
"f°18 recto, l.4",Te Molenbeke ende op den Steenwech,Heilwijch Heinrex Borsers suster,?,?,?,bi jans van den Zipe,5 sous et 2 chapons
"f°18 recto, l.5 (barré)",Te Molenbeke ende op den Steenwech,(Heilwijch Heinrec Borsers susters?],[?],[3 dachwanden beemden],[dat hout kateline heilwighen bursers dochter],[?],[18 deniers]
"f°18 recto, l.6",Te Molenbeke ende op den Steenwech,Kateline van Bolenbeke Jacobs dochter van Bolenbeke,?,?,?,?,5 sous et 2 chapons
"f°18 recto, l.7",Te Molenbeke ende op den Steenwech,de kercke van Molenbeke,-,?,?,?,"2 deniers, 2 chapons et 2 oies"
"f°18 recto, l.8",Te Molenbeke ende op den Steenwech,Jacob de Raven,?,1 hofstat & huis,?,??,"2,5 sous et 1 chapon"
"f°18 recto, l.9",Te Molenbeke ende op den Steenwech,(Claes de Rode de moldere ende sijn wijf)?,de moldere,1 hofstat,die was Jans van Mechle ,bi de kercke te Molenbeke,2 deniers et 2 chapons
"f°18 recto, l.10",Te Molenbeke ende op den Steenwech,Claes de Rode de moldere endes sijn wijf?,?, dele obstals,-,vore sine huis,obole
"f°18 recto, l.11",Te Molenbeke ende op den Steenwech,Lijsbet Hertobosch,?,1 voerhoede,hare hofstat,op de Hergraecht bi den Rosijr?,4 deniers
"f°18 recto, l.12",Te Molenbeke ende op den Steenwech,Gherem van Vilvoerden,?,1 obstalle,van goede dat was Jacobs van andwerpen van 1 obstalle vore sine huis,vore wiket ter drijschmolen,3 deniers
"f°18 recto, l.13",Te Molenbeke ende op den Steenwech,Gherem van Vilvoerden,?,1 aneworpe,achter sine huis van nuws neven sinen anderen aneworp,op de Senne achter sinen huis van nuws neven sinen anderen aneworpe,6 deniers
"f°18 recto, l.14",Te Molenbeke ende op den Steenwech,Gherem van Vilvoerden,?,1 aneworpe,omtrent 3 voete,op den Senne achter sine huis,3 deniers
"f°18 recto, l.15",Te Molenbeke ende op den Steenwech,Heinrec Willems sone Bocs de lakensnidere,de lakensnidere,goede?,van Gherarts tsmeeds goede,?,"2,5 sous et 1 chapon?"
"f°18 recto, l.16",Te Molenbeke ende op den Steenwech,Heinrec Willems sone Bocs de lakensnidere,de lakensnidere,van goede,die waren Inghbrecht beckers,?,7 deniers
"f°18 recto, l.17",Te Molenbeke ende op den Steenwech,Heinrec Willems sone Bocs de lakensnidere,de lakensnidere,1 hofstat,dat was Jans Sloetmakers,?,18 deniers et 1 chapon
"f°18 recto, l.18",Te Molenbeke ende op den Steenwech,Jan de Boc,?,1 hofstat,die was Jans Sloetmakers,op den steenwech,18 deniers et 1/2 chapon
"f°18 recto, l.19",Te Molenbeke ende op den Steenwech,Jan de Boc ou Jan de Zaghere sone Heinrec van Houten?,??,van goede,dat was Jans van der Coudertavernen,?,45 deniers? Et 4 oies
"f°18 recto, l.20",Te Molenbeke ende op den Steenwech,Jan de Boc ou Jan de Zaghere sone Heinrec van Houten?,??,van goede,dat was Clarissien tsmolders  dat wilen was Adaems tswolfs,?,45 deniers et 4 oies
"f°18 recto, l.21",Te Molenbeke ende op den Steenwech,Jan de Boc ou Jan de Zaghere sone Heinrec van Houten?,??,van der stat,-,daer sijn oven op stoet/steet,obole
"f°18 recto, l.22",Te Molenbeke ende op den Steenwech,Jan de Boc ou Jan de Zaghere sone Heinrec van Houten?,??,1 dele obstals bi gosens huis wilen was tswolfs,van goede dat was Jacobs Jan Boets Heinrec Boets kinder ,te molenbeke,obole
"f°18 recto, l.23",Te Molenbeke ende op den Steenwech,Vrancke de Boc,?,1 hofstat,die was Jans van Possuit,?,"2,5 sous et 1/2 chapon?"
"f°18 recto, l.24",Te Molenbeke ende op den Steenwech,Vrancke de Boc,?,van goede?,dat was Jans Croke,?,6 deniers et 1 chapon
"f°18 recto, l.25 (barré)",Te Molenbeke ende op den Steenwech,(Vrancke de Boc?),?,(1 delebunder lants),(dat was Gilijs vander Plast),(te Laken),(2 sous et 2 hamidere?)
"f°18 recto, l.26",Te Molenbeke ende op den Steenwech,Vrancke de Boc,?,1 hofstat,die was Willems van Carlevelt ocht joffrouwe lijsbete ende Mechiels Hondelose,?,2 sous
"f°18 recto, l.27 (barré)",Te Molenbeke ende op den Steenwech,(Vrancke de Boc),(?),(?),(van goede dat was Wilen willems van kerchove ochte heinrecs palmarts),(te Laken),(6 deniers)
"f°18 recto, l.28 (barré)",Te Molenbeke ende op den Steenwech,(Vrancke de Bo),(?),(?),(van goede gosen Jacobs van goede dat was ghecoecht ieghen janne den starcken),(?),(12 deniers)
"f°18 recto, l.29",Te Molenbeke ende op den Steenwech,Vrancke de Bo,?,1 voervanghe,-,op den steenwech te troechroets,2 deniers
"f°18 verso, l.1",Te Molenbeke ende op den Steenwech,Jans wijf van Stroembeke,?,1 stucke beemds,-,dat leet ten Rade,4 deniers
"f°18 verso, l.2",Te Molenbeke ende op den Steenwech,De witte vrouwen,-,van den mure,vore hare hofstat,-,6 deniers
"f°18 verso, l.3",Te Molenbeke ende op den Steenwech,de Witte Vrouwen,-,?,?,?,6 deniers et 2 chapons
"f°18 verso, l.3 aussi",Te Molenbeke ende op den Steenwech,de Witte Vrouwen,-,1 stucke lands,-,te Divelsberghe,1 denier
"f°18 verso, l.4",Te Molenbeke ende op den Steenwech,de Witte Vrouwen,-,1 obstalle,-,ieghen hare scure,5 deniers
"f°18 verso, l.5",Te Molenbeke ende op den Steenwech,Bouden Groetries,?,1/2 hofstat,-,daer wilen woende Roelants,4 sous et 2 chapons
"f°18 verso, l.6",Te Molenbeke ende op den Steenwech,Bouden Groetries,?,noch van nuws vore de voersede hofstat,-,-,1 denier
"f°18 verso, l.7",Te Molenbeke ende op den Steenwech,Bouden Groetries,?,1 stucke beemds,-,dat leet ten Rade,2 deniers
"f°18 verso, l.8",Te Molenbeke ende op den Steenwech,Bouden Groetries,?,noch van nuws vore der beghinen wijngaert,-,vore der beghinen wijngaert?,6 deniers
"f°18 verso, l.9",Te Molenbeke ende op den Steenwech,Bouden Groetries,?,1 voerhoede ende 1 aneworpe van 1 hofstat,-,?,3 deniers
"f°18 verso, l.10",Te Molenbeke ende op den Steenwech,Jan Godwale van Vorst,?,1 hofstat,die was Heinrex Etebroeds wijf,?,6 deniers
"f°18 verso, l.11",Te Molenbeke ende op den Steenwech,Jan Stevens de scoezuttere,de scoezuttere,van der selver hofstat,-,-,6 deniers
"f°18 verso, l.12 (barré)",Te Molenbeke ende op den Steenwech,(Magriete Lonijs dochter van Dielbek),(?),(van goede),(-),(tossenem),(27 deniers)
"f°18 verso, l.13",Te Molenbeke ende op den Steenwech,Jan Beecman,?,1 hofstat ende beemde ende 1 dachwande lants,-,?,"2,5 deniers"
"f°18 verso, l.14 (barré)",Te Molenbeke ende op den Steenwech,(Lijsbet van der beken),(?),(1 dachwande lants),(-),(gheset in sente clae prochie),(obole)
"f°18 verso, l.15",Te Molenbeke ende op den Steenwech,Jan Kuine puis Jan Gheau/v/nmert,?,van goede ,dat was Katelinen Jans dochter van Mazensele,?,obole tfijrendeel van 1  chapon
"f°18 verso, l.16 (barré)",Te Molenbeke ende op den Steenwech,(Jan Kuine),(?),(1 herden),(die leit op deighen/m),(in de prochie van eysinghen),(18 deniers)
"f°18 verso, l.17 (barré)",Te Molenbeke ende op den Steenwech,(Vrancke de smet van elsele),(de smet?),(1 broecke),(van goede dat was Lijsbetten van Carlevelt van 1 broecke),(tossenem),(10 deniers)
"f°18 verso, l.18",Te Molenbeke ende op den Steenwech,Her Jan <moeder> van der Sennen,her,1 beemde,die was Godeverts Boykens,?,2 chapons et 2 coelsche
"f°18 verso, l.19",Te Molenbeke ende op den Steenwech,Her Jan  van der Sennen,her,van goede ,van goede dat was ghecoecht ieghen Wouteren van den Houte,?,8 sous et 9 deniers
"f°18 verso, l.20",Te Molenbeke ende op den Steenwech,Lijsbet Claren dochter die woent bi Jan Meertsvloghe,?,1 hofstat,-,?,4 deniers
"f°18 verso, l.21",Te Molenbeke ende op den Steenwech,Lijsbet Claren dochter die woent bi Jan Meertsvloghe / jan van der molghem,?,1 derdendele van 1 halfboender lants,dat was Peters Swalen,?,1 denier
"f°18 verso, l.22",Te Molenbeke ende op den Steenwech,Jan van Boutsfort,?,1 derdendele van 1/2? boenenlants vors,-,?,obole
"f°18 verso, l.23",Te Molenbeke ende op den Steenwech,Gilijs van Steerhem Magrieten Jans dochter van den Payhuse ,?,1 vloeghe,-,?,8 sous 4 chapons et 1 coelschen
"f°18 verso, l.24",Te Molenbeke ende op den Steenwech,Gilijs van Steerhem Magrieten Jans dochter van den Payhuse ,?,noch van goede,dat was Gilijs diemen heet Jonchere,?,"2,5 sous et 1 chapon"
"f°18 verso, l.25",Te Molenbeke ende op den Steenwech,her Gherart van Cockelberghe de riddere van Molenbeke,"her, de riddere van Molenbeke",?,-,?,12 sous et 4 deniers
"f°18 verso, l.26",Te Molenbeke ende op den Steenwech,Heinrec Sanders / Alijt Zeghers?,?,1 hofstat,-,bi Jans van den stene ane dbroec,4 sous et 4 chapons
"f°18 verso, l.27",Te Molenbeke ende op den Steenwech,Heinrec Sanders / Alijt Zeghers?,?,?,van nuws ghegheven hems,?,2 deniers
